data_src,filter,min,max,μ,σ,mode,Q1,Q2,Q3
iotfinder,all,0.0,82.0,29.21793349168646,11.161511258610323,24.0,22.0,26.0,38.0
iotfinder,qd_only,7.0,82.0,26.82191780821918,10.53783442036919,24.0,20.0,24.0,30.0
iotfinder,qd_an_only,7.0,82.0,29.316606929510154,11.106671778531624,24.0,22.0,26.0,38.0
iotfinder,no_mdns,0.0,82.0,29.21865715983363,11.16478917577867,24.0,22.0,26.0,38.0
iotfinder,no_mdns_qd_only,7.0,82.0,26.82084095063985,10.542593642904928,24.0,20.0,24.0,30.0
iotfinder,no_mdns_qd_an_only,7.0,82.0,29.31739390316796,11.109945968558666,24.0,22.0,26.0,38.0
yourthings,all,0.0,83.0,26.31960692559663,11.845658279308047,31.0,18.0,25.0,31.0
yourthings,qrys_only,2.0,83.0,24.504280155642025,9.656371133756902,31.0,18.0,24.0,30.0
yourthings,qd_only,2.0,83.0,24.509331259720064,9.654312478665007,31.0,18.0,24.0,30.0
yourthings,qd_an_only,2.0,83.0,27.386316872427983,11.711906220287908,31.0,20.0,25.0,31.0
yourthings,no_mdns,0.0,82.0,25.65763924374042,10.938586190139636,31.0,18.0,24.0,31.0
yourthings,no_mdns_qrys_only,2.0,82.0,23.81173380035026,8.657497030626013,31.0,18.0,23.0,29.0
yourthings,no_mdns_qd_only,2.0,82.0,23.818022747156604,8.656317289225328,31.0,18.0,23.0,29.0
yourthings,no_mdns_qd_an_only,2.0,82.0,26.79265536723164,10.764473331520517,31.0,19.0,25.0,31.0
moniotr,all,0.0,83.0,25.529063509149623,13.424812674782164,20.0,18.0,21.0,29.0
moniotr,qrys_only,9.0,83.0,27.122478386167145,14.716492958198623,18.0,18.0,23.0,30.0
moniotr,qd_only,9.0,83.0,27.10503597122302,14.713073857144655,18.0,18.0,23.0,30.0
moniotr,qd_an_only,9.0,83.0,30.24340949033392,14.899297722442086,25.0,20.0,26.0,37.0
moniotr,no_mdns,0.0,82.0,24.19600938967136,11.323683028784268,20.0,17.0,20.0,28.0
moniotr,no_mdns_qrys_only,10.0,82.0,24.98668885191348,10.99302002111759,18.0,18.0,23.0,29.0
moniotr,no_mdns_qd_only,10.0,82.0,24.97009966777409,10.991409578204252,18.0,18.0,23.0,29.0
moniotr,no_mdns_qd_an_only,10.0,82.0,28.76582914572864,12.566300555408018,25.0,19.5,26.0,36.0
